,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
894,12283.0,75440.0,TX,Emory,202890.113,211460.0981,230592.4639,249365.6283,304937.6085,311481.5032,
895,12304.0,76579.0,TX,Troy,152926.5474,166801.9589,173945.8377,192120.2823,240792.2089,264713.0481,
896,12352.0,75693.0,TX,White Oak,162239.3355,178881.9948,192298.3587,194712.2352,214433.2161,233639.8223,
897,12357.0,78257.0,TX,San Antonio,572655.4796,587935.3011,597922.3951,647412.2253,766919.4034,820228.3451,
898,12369.0,76043.0,TX,Glen Rose,224065.1773,235630.6686,245546.0113,271348.7993,324841.9742,362495.3096,
899,12421.0,78560.0,TX,La Joya,83383.15531,87510.12942,97906.81339,113124.493,122480.7088,143595.743,
900,12449.0,79323.0,TX,Denver City,108319.3749,114249.5294,128488.387,149632.9821,161352.2796,156876.4432,
901,12457.0,77879.0,TX,Somerville,124848.4152,135311.4413,146595.3106,155714.1882,188618.9507,173662.4818,
902,12475.0,78372.0,TX,Orange Grove,159551.306,166373.0556,168486.2634,172490.1942,185807.9506,173488.0808,
903,12486.0,79356.0,TX,Post,85915.02887,84874.59965,88173.96935,98250.66358,103411.0368,94035.76251,
904,12511.0,75559.0,TX,De Kalb,105239.5303,111803.6136,115213.5471,124031.326,155122.1941,158312.3581,
905,12521.0,79836.0,TX,Clint,111148.9981,117216.9342,120085.6175,131987.5985,148772.1687,164932.668,
906,12539.0,75117.0,TX,Edgewood,154880.5227,164315.8744,181738.4475,197817.2024,251322.2817,257850.1441,
907,12561.0,77358.0,TX,New Waverly,188901.7993,197875.6575,214521.9472,243035.3533,310122.3913,322783.643,
908,12577.0,78593.0,TX,Santa Rosa,71831.26882,72603.84606,72660.06048,86642.88419,99411.14031,107392.9315,
909,12586.0,76689.0,TX,Valley Mills,153872.0497,165664.4246,179336.6826,204966.9711,273405.0463,294572.2684,
910,12622.0,75638.0,TX,Daingerfield,90213.35952,93723.98179,100254.8977,118219.1283,148951.5275,150518.8535,
911,12636.0,77963.0,TX,Goliad,154822.7169,176894.6608,187037.995,194335.3744,240283.836,211464.9469,
912,12647.0,77659.0,TX,Sour Lake,171529.0598,162866.858,200136.7359,209726.1072,240601.2454,243356.1268,
913,12686.0,77514.0,TX,Anahuac,163491.8029,171524.8842,180753.8438,197303.9637,217842.5064,224505.1624,
914,12704.0,79363.0,TX,Shallowater,199563.0077,208140.8476,203394.1861,221539.4518,244229.4344,259317.3237,
915,12747.0,78263.0,TX,San Antonio,246756.3482,255278.16,263961.2575,299023.1196,334220.8916,367126.274,
916,12764.0,79088.0,TX,Tulia,61864.56584,64030.65157,74995.13418,72134.83956,86277.01478,89845.75693,
917,12784.0,78160.0,TX,Stockdale,187968.4036,192811.2175,208839.1186,242037.3499,298265.1515,306594.3981,
